,Trial Number,Stim Peak,Stim Slope Threshold,Matched Preset,Stim Spikes,Time Intervals
0,0,-0.5,0.2,[],0,[]
1,0,-0.5,0.25,[],0,[]
2,0,-0.5,0.30000000000000004,[],0,[]
3,0,-0.5,0.35000000000000003,[],0,[]
4,0,-0.5,0.4,[],0,[]
5,0,-0.45,0.2,[],0,[]
6,0,-0.45,0.25,[],0,[]
7,0,-0.45,0.30000000000000004,[],0,[]
8,0,-0.45,0.35000000000000003,[],0,[]
9,0,-0.45,0.4,[],0,[]
10,0,-0.4,0.2,[],0,[]
11,0,-0.4,0.25,[],0,[]
12,0,-0.4,0.30000000000000004,[],0,[]
13,0,-0.4,0.35000000000000003,[],0,[]
14,0,-0.4,0.4,[],0,[]
15,0,-0.35,0.2,[],0,[]
16,0,-0.35,0.25,[],0,[]
17,0,-0.35,0.30000000000000004,[],0,[]
18,0,-0.35,0.35000000000000003,[],0,[]
19,0,-0.35,0.4,[],0,[]
20,0,-0.3,0.2,[],0,[]
21,0,-0.3,0.25,[],0,[]
22,0,-0.3,0.30000000000000004,[],0,[]
23,0,-0.3,0.35000000000000003,[],0,[]
24,0,-0.3,0.4,[],0,[]
25,1,-0.5,0.2,[],0,[]
26,1,-0.5,0.25,[],0,[]
27,1,-0.5,0.30000000000000004,[],0,[]
28,1,-0.5,0.35000000000000003,[],0,[]
29,1,-0.5,0.4,[],0,[]
30,1,-0.45,0.2,[],0,[]
31,1,-0.45,0.25,[],0,[]
32,1,-0.45,0.30000000000000004,[],0,[]
33,1,-0.45,0.35000000000000003,[],0,[]
34,1,-0.45,0.4,[],0,[]
35,1,-0.4,0.2,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",13,"[1.001, 1.021, 1.041, 1.241, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
36,1,-0.4,0.25,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",13,"[1.001, 1.021, 1.041, 1.241, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
37,1,-0.4,0.30000000000000004,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",13,"[1.001, 1.021, 1.041, 1.241, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
